event_id,order_id,store_id,sku_id,event_ts,reason
SO100521_SKU0050,ORD100521,DS006,SKU0050,2025-08-01 13:12:23,Expired
SO100542_SKU0001,ORD100542,DS006,SKU0001,2025-08-01 10:40:31,Pick fail
SO100545_SKU0034,ORD100545,DS006,SKU0034,2025-08-01 08:28:21,Pick fail
SO100547_SKU0033,ORD100547,DS006,SKU0033,2025-08-01 13:03:27,Zero on hand
SO100556_SKU0005,ORD100556,DS006,SKU0005,2025-08-01 23:38:14,Pick fail
SO100556_SKU0009,ORD100556,DS006,SKU0009,2025-08-01 23:38:14,Expired
SO100558_SKU0041,ORD100558,DS006,SKU0041,2025-08-01 16:45:01,Pick fail
SO100575_SKU0051,ORD100575,DS006,SKU0051,2025-08-01 17:34:58,Damaged
SO100582_SKU0057,ORD100582,DS006,SKU0057,2025-08-01 18:36:19,Expired
SO100585_SKU0020,ORD100585,DS006,SKU0020,2025-08-01 13:09:41,Expired
SO100603_SKU0066,ORD100603,DS006,SKU0066,2025-08-01 20:38:58,Pick fail
SO100604_SKU0065,ORD100604,DS006,SKU0065,2025-08-01 20:09:57,Expired
SO100610_SKU0049,ORD100610,DS006,SKU0049,2025-08-01 18:29:02,Pick fail
SO100619_SKU0019,ORD100619,DS006,SKU0019,2025-08-01 16:04:57,Zero on hand
SO100620_SKU0058,ORD100620,DS006,SKU0058,2025-08-01 23:10:16,Pick fail
SO100629_SKU0038,ORD100629,DS007,SKU0038,2025-08-01 19:39:38,Damaged
SO100640_SKU0041,ORD100640,DS007,SKU0041,2025-08-01 18:36:24,Zero on hand
SO100660_SKU0050,ORD100660,DS007,SKU0050,2025-08-01 19:32:33,Expired
SO100677_SKU0078,ORD100677,DS007,SKU0078,2025-08-01 18:49:07,Expired
SO100704_SKU0047,ORD100704,DS007,SKU0047,2025-08-01 19:36:10,Pick fail
SO100707_SKU0041,ORD100707,DS007,SKU0041,2025-08-01 18:35:06,Zero on hand
SO100708_SKU0080,ORD100708,DS007,SKU0080,2025-08-01 19:06:24,Zero on hand
SO100717_SKU0066,ORD100717,DS007,SKU0066,2025-08-01 13:21:48,Damaged
SO100749_SKU0008,ORD100749,DS008,SKU0008,2025-08-01 12:31:11,Zero on hand
SO100752_SKU0046,ORD100752,DS008,SKU0046,2025-08-01 20:00:30,Expired
SO100760_SKU0079,ORD100760,DS008,SKU0079,2025-08-01 21:03:53,Zero on hand
SO100776_SKU0069,ORD100776,DS008,SKU0069,2025-08-01 11:30:56,Expired
SO100784_SKU0052,ORD100784,DS008,SKU0052,2025-08-01 10:21:07,Damaged
SO100792_SKU0078,ORD100792,DS008,SKU0078,2025-08-01 13:34:51,Damaged
SO100797_SKU0006,ORD100797,DS008,SKU0006,2025-08-01 22:55:36,Damaged
SO100809_SKU0005,ORD100809,DS008,SKU0005,2025-08-01 20:21:20,Expired
SO100811_SKU0023,ORD100811,DS008,SKU0023,2025-08-01 18:20:03,Damaged
SO100815_SKU0057,ORD100815,DS008,SKU0057,2025-08-01 12:41:59,Damaged
SO100824_SKU0070,ORD100824,DS008,SKU0070,2025-08-01 13:56:51,Damaged
SO100841_SKU0078,ORD100841,DS008,SKU0078,2025-08-01 13:59:16,Expired
SO100841_SKU0046,ORD100841,DS008,SKU0046,2025-08-01 13:59:16,Damaged
SO100856_SKU0023,ORD100856,DS009,SKU0023,2025-08-01 10:41:05,Damaged
SO100867_SKU0010,ORD100867,DS009,SKU0010,2025-08-01 20:27:11,Zero on hand
SO100875_SKU0067,ORD100875,DS009,SKU0067,2025-08-01 14:22:52,Zero on hand
SO100881_SKU0019,ORD100881,DS009,SKU0019,2025-08-01 13:25:26,Damaged
SO100885_SKU0026,ORD100885,DS009,SKU0026,2025-08-01 18:42:02,Expired
SO100912_SKU0007,ORD100912,DS009,SKU0007,2025-08-01 18:35:43,Pick fail
SO100928_SKU0002,ORD100928,DS009,SKU0002,2025-08-01 14:00:14,Pick fail
SO100934_SKU0033,ORD100934,DS009,SKU0033,2025-08-01 17:57:45,Expired
SO100935_SKU0058,ORD100935,DS009,SKU0058,2025-08-01 10:59:27,Zero on hand
SO100938_SKU0059,ORD100938,DS009,SKU0059,2025-08-01 19:09:57,Expired
SO100940_SKU0024,ORD100940,DS009,SKU0024,2025-08-01 17:14:52,Pick fail
SO100947_SKU0053,ORD100947,DS010,SKU0053,2025-08-01 18:04:32,Pick fail
SO100953_SKU0018,ORD100953,DS010,SKU0018,2025-08-01 16:22:53,Pick fail
SO100956_SKU0049,ORD100956,DS010,SKU0049,2025-08-01 17:16:23,Expired
SO100975_SKU0052,ORD100975,DS010,SKU0052,2025-08-01 16:10:55,Pick fail
SO100985_SKU0007,ORD100985,DS010,SKU0007,2025-08-01 12:09:43,Expired
SO100988_SKU0031,ORD100988,DS010,SKU0031,2025-08-01 14:46:49,Zero on hand
SO100990_SKU0031,ORD100990,DS010,SKU0031,2025-08-01 22:25:13,Damaged
SO100992_SKU0053,ORD100992,DS010,SKU0053,2025-08-01 20:15:50,Expired
SO101004_SKU0002,ORD101004,DS010,SKU0002,2025-08-01 20:34:18,Expired
SO101028_SKU0026,ORD101028,DS010,SKU0026,2025-08-01 20:10:33,Damaged
SO101036_SKU0008,ORD101036,DS010,SKU0008,2025-08-01 13:21:09,Zero on hand
SO101040_SKU0062,ORD101040,DS010,SKU0062,2025-08-01 18:58:25,Zero on hand
SO101042_SKU0054,ORD101042,DS010,SKU0054,2025-08-01 19:13:07,Pick fail
SO101042_SKU0003,ORD101042,DS010,SKU0003,2025-08-01 19:13:07,Zero on hand
SO101044_SKU0005,ORD101044,DS010,SKU0005,2025-08-01 12:15:58,Pick fail
SO101052_SKU0041,ORD101052,DS010,SKU0041,2025-08-01 20:14:27,Zero on hand
SO101062_SKU0079,ORD101062,DS010,SKU0079,2025-08-01 20:24:30,Pick fail
SO101064_SKU0019,ORD101064,DS010,SKU0019,2025-08-01 20:57:57,Damaged
SO101066_SKU0068,ORD101066,DS010,SKU0068,2025-08-01 22:55:51,Zero on hand
SO101071_SKU0033,ORD101071,DS010,SKU0033,2025-08-01 19:51:23,Expired
SO101076_SKU0046,ORD101076,DS010,SKU0046,2025-08-01 21:31:35,Zero on hand
SO101079_SKU0063,ORD101079,DS010,SKU0063,2025-08-01 15:54:18,Expired
SO101086_SKU0013,ORD101086,DS011,SKU0013,2025-08-01 12:41:25,Pick fail
SO101088_SKU0055,ORD101088,DS011,SKU0055,2025-08-01 21:59:13,Zero on hand
SO101093_SKU0063,ORD101093,DS011,SKU0063,2025-08-01 20:25:25,Damaged
SO101093_SKU0032,ORD101093,DS011,SKU0032,2025-08-01 20:25:25,Pick fail
SO101101_SKU0003,ORD101101,DS011,SKU0003,2025-08-01 20:04:49,Expired
SO101106_SKU0041,ORD101106,DS011,SKU0041,2025-08-01 17:38:13,Expired
SO101108_SKU0077,ORD101108,DS011,SKU0077,2025-08-01 20:21:02,Expired
SO101113_SKU0006,ORD101113,DS011,SKU0006,2025-08-01 08:16:49,Expired
SO101114_SKU0061,ORD101114,DS011,SKU0061,2025-08-01 13:23:03,Damaged
SO101117_SKU0032,ORD101117,DS011,SKU0032,2025-08-01 08:41:41,Damaged
SO101123_SKU0033,ORD101123,DS011,SKU0033,2025-08-01 19:54:05,Damaged
SO101126_SKU0049,ORD101126,DS011,SKU0049,2025-08-01 19:53:05,Expired
SO101136_SKU0031,ORD101136,DS011,SKU0031,2025-08-01 23:23:02,Pick fail
SO101138_SKU0062,ORD101138,DS011,SKU0062,2025-08-01 20:32:32,Pick fail
SO101141_SKU0049,ORD101141,DS011,SKU0049,2025-08-01 16:52:47,Expired
SO101154_SKU0063,ORD101154,DS011,SKU0063,2025-08-01 16:36:04,Expired
SO101161_SKU0054,ORD101161,DS012,SKU0054,2025-08-01 20:20:13,Pick fail
SO101180_SKU0021,ORD101180,DS012,SKU0021,2025-08-01 10:08:43,Expired
SO101194_SKU0027,ORD101194,DS012,SKU0027,2025-08-01 13:57:27,Damaged
SO101213_SKU0056,ORD101213,DS012,SKU0056,2025-08-01 20:14:35,Damaged
SO101217_SKU0040,ORD101217,DS012,SKU0040,2025-08-01 15:38:36,Pick fail
SO101224_SKU0047,ORD101224,DS012,SKU0047,2025-08-01 14:53:25,Damaged
SO101273_SKU0053,ORD101273,DS013,SKU0053,2025-08-01 14:19:17,Expired
SO101305_SKU0004,ORD101305,DS013,SKU0004,2025-08-01 14:42:50,Expired
SO101305_SKU0072,ORD101305,DS013,SKU0072,2025-08-01 14:42:50,Zero on hand
SO101310_SKU0059,ORD101310,DS013,SKU0059,2025-08-01 12:03:58,Expired
SO101311_SKU0053,ORD101311,DS013,SKU0053,2025-08-01 15:42:32,Zero on hand
SO101317_SKU0021,ORD101317,DS013,SKU0021,2025-08-01 20:53:27,Expired
SO101319_SKU0003,ORD101319,DS013,SKU0003,2025-08-01 20:34:35,Damaged
SO101320_SKU0050,ORD101320,DS013,SKU0050,2025-08-01 19:03:58,Zero on hand
SO101327_SKU0064,ORD101327,DS013,SKU0064,2025-08-01 16:35:15,Zero on hand
SO101328_SKU0008,ORD101328,DS013,SKU0008,2025-08-01 17:47:35,Pick fail
SO101330_SKU0001,ORD101330,DS014,SKU0001,2025-08-01 16:30:18,Damaged
SO101345_SKU0079,ORD101345,DS014,SKU0079,2025-08-01 13:54:28,Pick fail
SO101352_SKU0023,ORD101352,DS014,SKU0023,2025-08-01 19:30:13,Pick fail
SO101352_SKU0044,ORD101352,DS014,SKU0044,2025-08-01 19:30:13,Pick fail
SO101364_SKU0047,ORD101364,DS014,SKU0047,2025-08-01 22:43:48,Pick fail
SO101367_SKU0014,ORD101367,DS014,SKU0014,2025-08-01 21:01:49,Zero on hand
SO101381_SKU0079,ORD101381,DS014,SKU0079,2025-08-01 08:03:43,Expired
SO101384_SKU0063,ORD101384,DS014,SKU0063,2025-08-01 08:42:35,Pick fail
SO101388_SKU0050,ORD101388,DS014,SKU0050,2025-08-01 21:07:54,Pick fail
SO101402_SKU0038,ORD101402,DS014,SKU0038,2025-08-01 19:58:01,Pick fail
SO101410_SKU0064,ORD101410,DS014,SKU0064,2025-08-01 08:53:17,Pick fail
SO101424_SKU0035,ORD101424,DS014,SKU0035,2025-08-01 19:19:20,Expired
SO101425_SKU0042,ORD101425,DS014,SKU0042,2025-08-01 11:26:35,Pick fail
SO101425_SKU0052,ORD101425,DS014,SKU0052,2025-08-01 11:26:35,Damaged
SO101427_SKU0058,ORD101427,DS014,SKU0058,2025-08-01 21:36:09,Zero on hand
SO101433_SKU0059,ORD101433,DS014,SKU0059,2025-08-01 20:27:22,Damaged
SO101444_SKU0005,ORD101444,DS014,SKU0005,2025-08-01 14:17:15,Pick fail
SO101451_SKU0080,ORD101451,DS014,SKU0080,2025-08-01 21:15:12,Expired
SO101456_SKU0080,ORD101456,DS014,SKU0080,2025-08-01 15:44:52,Damaged
SO101460_SKU0066,ORD101460,DS014,SKU0066,2025-08-01 19:30:40,Zero on hand
SO101511_SKU0048,ORD101511,DS015,SKU0048,2025-08-01 19:43:49,Expired
SO101518_SKU0062,ORD101518,DS015,SKU0062,2025-08-01 10:00:20,Pick fail
SO101526_SKU0053,ORD101526,DS015,SKU0053,2025-08-01 19:42:26,Damaged
SO101528_SKU0062,ORD101528,DS015,SKU0062,2025-08-01 14:36:22,Zero on hand
SO101535_SKU0006,ORD101535,DS016,SKU0006,2025-08-01 14:58:34,Pick fail
SO101551_SKU0014,ORD101551,DS016,SKU0014,2025-08-01 20:23:43,Pick fail
SO101556_SKU0072,ORD101556,DS016,SKU0072,2025-08-01 17:43:46,Damaged
SO101568_SKU0010,ORD101568,DS016,SKU0010,2025-08-01 10:13:34,Damaged
SO101569_SKU0053,ORD101569,DS016,SKU0053,2025-08-01 21:39:38,Damaged
SO101580_SKU0062,ORD101580,DS016,SKU0062,2025-08-01 17:56:26,Damaged
SO101596_SKU0079,ORD101596,DS016,SKU0079,2025-08-01 18:52:58,Zero on hand
SO101610_SKU0002,ORD101610,DS016,SKU0002,2025-08-01 16:51:48,Damaged
SO101610_SKU0004,ORD101610,DS016,SKU0004,2025-08-01 16:51:48,Zero on hand
SO101610_SKU0065,ORD101610,DS016,SKU0065,2025-08-01 16:51:48,Zero on hand
SO101616_SKU0059,ORD101616,DS016,SKU0059,2025-08-01 08:24:23,Pick fail
SO101616_SKU0051,ORD101616,DS016,SKU0051,2025-08-01 08:24:23,Damaged
SO101618_SKU0017,ORD101618,DS016,SKU0017,2025-08-01 18:36:54,Expired
SO101621_SKU0037,ORD101621,DS016,SKU0037,2025-08-01 18:13:24,Damaged
SO101622_SKU0067,ORD101622,DS016,SKU0067,2025-08-01 17:33:28,Zero on hand
SO101622_SKU0005,ORD101622,DS016,SKU0005,2025-08-01 17:33:28,Expired
SO101634_SKU0026,ORD101634,DS016,SKU0026,2025-08-01 10:43:25,Zero on hand
SO101644_SKU0006,ORD101644,DS016,SKU0006,2025-08-01 12:40:28,Pick fail
SO101644_SKU0054,ORD101644,DS016,SKU0054,2025-08-01 12:40:28,Expired
SO101661_SKU0068,ORD101661,DS017,SKU0068,2025-08-01 18:50:08,Zero on hand
SO101670_SKU0007,ORD101670,DS017,SKU0007,2025-08-01 10:11:18,Expired
SO101679_SKU0020,ORD101679,DS017,SKU0020,2025-08-01 08:34:18,Expired
SO101691_SKU0006,ORD101691,DS017,SKU0006,2025-08-01 10:44:26,Damaged
SO101698_SKU0070,ORD101698,DS017,SKU0070,2025-08-01 14:30:51,Damaged
SO101699_SKU0044,ORD101699,DS017,SKU0044,2025-08-01 19:51:11,Damaged
SO101701_SKU0032,ORD101701,DS017,SKU0032,2025-08-01 13:48:00,Expired
SO101720_SKU0007,ORD101720,DS017,SKU0007,2025-08-01 19:24:06,Damaged
SO101745_SKU0023,ORD101745,DS017,SKU0023,2025-08-01 16:55:48,Zero on hand
SO101779_SKU0001,ORD101779,DS017,SKU0001,2025-08-01 17:31:25,Zero on hand
SO101783_SKU0061,ORD101783,DS001,SKU0061,2025-08-02 08:29:17,Pick fail
SO101795_SKU0068,ORD101795,DS001,SKU0068,2025-08-02 18:56:51,Damaged
SO101795_SKU0061,ORD101795,DS001,SKU0061,2025-08-02 18:56:51,Expired
SO101799_SKU0001,ORD101799,DS001,SKU0001,2025-08-02 18:16:28,Pick fail
SO101804_SKU0065,ORD101804,DS001,SKU0065,2025-08-02 13:13:31,Expired
SO101817_SKU0008,ORD101817,DS001,SKU0008,2025-08-02 19:07:32,Zero on hand
SO101827_SKU0055,ORD101827,DS001,SKU0055,2025-08-02 20:15:10,Expired
SO101830_SKU0004,ORD101830,DS001,SKU0004,2025-08-02 18:11:27,Expired
SO101845_SKU0065,ORD101845,DS001,SKU0065,2025-08-02 16:28:01,Expired
SO101846_SKU0008,ORD101846,DS001,SKU0008,2025-08-02 20:11:29,Damaged
SO101849_SKU0060,ORD101849,DS001,SKU0060,2025-08-02 17:23:15,Expired
SO101878_SKU0003,ORD101878,DS001,SKU0003,2025-08-02 20:03:06,Expired
SO101884_SKU0006,ORD101884,DS001,SKU0006,2025-08-02 17:23:31,Damaged
SO101887_SKU0015,ORD101887,DS001,SKU0015,2025-08-02 12:46:07,Damaged
SO101896_SKU0047,ORD101896,DS001,SKU0047,2025-08-02 17:08:12,Zero on hand
SO101912_SKU0080,ORD101912,DS002,SKU0080,2025-08-02 14:12:16,Expired
SO101918_SKU0028,ORD101918,DS002,SKU0028,2025-08-02 15:17:20,Pick fail
SO101920_SKU0014,ORD101920,DS002,SKU0014,2025-08-02 13:54:00,Damaged
SO101928_SKU0071,ORD101928,DS002,SKU0071,2025-08-02 09:18:26,Expired
SO101956_SKU0004,ORD101956,DS002,SKU0004,2025-08-02 19:35:25,Damaged
SO101966_SKU0054,ORD101966,DS002,SKU0054,2025-08-02 19:08:50,Damaged
SO101969_SKU0066,ORD101969,DS002,SKU0066,2025-08-02 18:34:07,Expired
SO101971_SKU0047,ORD101971,DS002,SKU0047,2025-08-02 10:32:47,Expired
SO101972_SKU0052,ORD101972,DS002,SKU0052,2025-08-02 20:17:07,Expired
SO101973_SKU0058,ORD101973,DS002,SKU0058,2025-08-02 08:07:30,Zero on hand
SO101987_SKU0019,ORD101987,DS002,SKU0019,2025-08-02 18:07:01,Damaged
SO102009_SKU0075,ORD102009,DS002,SKU0075,2025-08-02 23:30:46,Damaged
SO102014_SKU0027,ORD102014,DS002,SKU0027,2025-08-02 19:54:01,Expired
SO102031_SKU0059,ORD102031,DS002,SKU0059,2025-08-02 12:34:01,Pick fail
SO102036_SKU0007,ORD102036,DS003,SKU0007,2025-08-02 20:56:44,Damaged
SO102039_SKU0018,ORD102039,DS003,SKU0018,2025-08-02 11:25:01,Expired
SO102041_SKU0065,ORD102041,DS003,SKU0065,2025-08-02 11:55:33,Expired
SO102043_SKU0046,ORD102043,DS003,SKU0046,2025-08-02 16:57:42,Damaged
SO102045_SKU0003,ORD102045,DS003,SKU0003,2025-08-02 18:17:31,Zero on hand
SO102046_SKU0043,ORD102046,DS003,SKU0043,2025-08-02 13:53:22,Pick fail
SO102051_SKU0049,ORD102051,DS003,SKU0049,2025-08-02 09:08:34,Expired
SO102058_SKU0041,ORD102058,DS003,SKU0041,2025-08-02 18:22:45,Pick fail
SO102063_SKU0038,ORD102063,DS003,SKU0038,2025-08-02 11:13:01,Expired
SO102068_SKU0029,ORD102068,DS003,SKU0029,2025-08-02 20:29:39,Damaged
SO102071_SKU0069,ORD102071,DS003,SKU0069,2025-08-02 20:54:26,Expired
SO102073_SKU0065,ORD102073,DS003,SKU0065,2025-08-02 17:13:26,Pick fail
SO102095_SKU0028,ORD102095,DS003,SKU0028,2025-08-02 20:10:30,Expired
SO102100_SKU0027,ORD102100,DS003,SKU0027,2025-08-02 17:42:59,Zero on hand
SO102101_SKU0052,ORD102101,DS003,SKU0052,2025-08-02 19:02:28,Zero on hand
SO102103_SKU0064,ORD102103,DS003,SKU0064,2025-08-02 21:53:29,Zero on hand
SO102111_SKU0004,ORD102111,DS004,SKU0004,2025-08-02 20:53:29,Damaged
SO102118_SKU0072,ORD102118,DS004,SKU0072,2025-08-02 16:28:23,Damaged
SO102122_SKU0008,ORD102122,DS004,SKU0008,2025-08-02 13:53:04,Damaged
SO102131_SKU0035,ORD102131,DS004,SKU0035,2025-08-02 23:07:46,Pick fail
SO102149_SKU0036,ORD102149,DS004,SKU0036,2025-08-02 21:52:03,Expired
SO102153_SKU0016,ORD102153,DS004,SKU0016,2025-08-02 18:17:34,Expired
SO102157_SKU0067,ORD102157,DS004,SKU0067,2025-08-02 22:40:59,Expired
SO102165_SKU0030,ORD102165,DS004,SKU0030,2025-08-02 18:09:29,Zero on hand
SO102165_SKU0048,ORD102165,DS004,SKU0048,2025-08-02 18:09:29,Zero on hand
SO102187_SKU0022,ORD102187,DS005,SKU0022,2025-08-02 18:24:37,Expired
SO102187_SKU0079,ORD102187,DS005,SKU0079,2025-08-02 18:24:37,Pick fail
SO102189_SKU0006,ORD102189,DS005,SKU0006,2025-08-02 18:21:00,Damaged
SO102193_SKU0051,ORD102193,DS005,SKU0051,2025-08-02 11:36:14,Pick fail
SO102194_SKU0035,ORD102194,DS005,SKU0035,2025-08-02 22:30:42,Pick fail
SO102195_SKU0065,ORD102195,DS005,SKU0065,2025-08-02 18:37:17,Pick fail
SO102204_SKU0032,ORD102204,DS005,SKU0032,2025-08-02 20:54:31,Zero on hand
SO102205_SKU0043,ORD102205,DS005,SKU0043,2025-08-02 15:56:06,Expired
SO102209_SKU0021,ORD102209,DS005,SKU0021,2025-08-02 18:47:20,Zero on hand
SO102209_SKU0031,ORD102209,DS005,SKU0031,2025-08-02 18:47:20,Expired
SO102224_SKU0048,ORD102224,DS005,SKU0048,2025-08-02 23:08:35,Pick fail
SO102236_SKU0050,ORD102236,DS005,SKU0050,2025-08-02 18:38:41,Zero on hand
SO102240_SKU0047,ORD102240,DS005,SKU0047,2025-08-02 17:44:09,Damaged
SO102247_SKU0059,ORD102247,DS005,SKU0059,2025-08-02 10:56:37,Zero on hand
SO102249_SKU0034,ORD102249,DS005,SKU0034,2025-08-02 12:34:25,Damaged
SO102250_SKU0046,ORD102250,DS005,SKU0046,2025-08-02 19:03:45,Damaged
SO102254_SKU0053,ORD102254,DS005,SKU0053,2025-08-02 14:20:59,Zero on hand
SO102260_SKU0054,ORD102260,DS005,SKU0054,2025-08-02 20:20:58,Zero on hand
SO102263_SKU0011,ORD102263,DS005,SKU0011,2025-08-02 10:58:24,Expired
SO102265_SKU0006,ORD102265,DS005,SKU0006,2025-08-02 23:18:36,Pick fail
SO102272_SKU0060,ORD102272,DS005,SKU0060,2025-08-02 14:39:48,Damaged
SO102274_SKU0007,ORD102274,DS005,SKU0007,2025-08-02 13:10:12,Zero on hand
SO102283_SKU0005,ORD102283,DS005,SKU0005,2025-08-02 20:42:33,Zero on hand
SO102285_SKU0039,ORD102285,DS005,SKU0039,2025-08-02 13:47:00,Zero on hand
SO102286_SKU0060,ORD102286,DS005,SKU0060,2025-08-02 16:51:42,Damaged
SO102287_SKU0037,ORD102287,DS005,SKU0037,2025-08-02 16:25:39,Pick fail
SO102287_SKU0031,ORD102287,DS005,SKU0031,2025-08-02 16:25:39,Expired
SO102291_SKU0047,ORD102291,DS005,SKU0047,2025-08-02 23:43:46,Expired
SO102301_SKU0044,ORD102301,DS005,SKU0044,2025-08-02 19:06:43,Pick fail
SO102314_SKU0025,ORD102314,DS005,SKU0025,2025-08-02 14:17:01,Expired
